'Gender','Grade','Age','Race','Urban/Rural','School','Goals','Grades','Sports','Looks','Money'
'boy',5,10,'White','Rural','Sand','Sports',2,1,4,3
'boy',5,10,'White','Rural','Sand','Sports',3,1,4,2
'boy',5,11,'White','Rural','Sand','Grades',4,2,3,1
'boy',5,10,'White','Rural','Sand','Grades',2,1,3,4
'boy',5,10,'White','Rural','Sand','Grades',1,2,4,3
'girl',5,10,'White','Rural','Sand','Popular',2,3,1,4
'girl',5,10,'White','Rural','Sand','Popular',3,2,1,4
'girl',5,10,'White','Rural','Sand','Popular',1,3,2,4
'girl',5,11,'White','Rural','Sand','Grades',2,4,1,3
'girl',5,10,'White','Rural','Sand','Grades',1,2,3,4
'girl',5,10,'White','Rural','Sand','Grades',2,4,3,1
'girl',5,10,'White','Rural','Sand','Popular',3,2,1,4
'girl',5,10,'Other','Rural','Sand','Grades',2,4,1,3
'boy',4,9,'White','Rural','Sand','Grades',3,1,2,4
'boy',4,10,'White','Rural','Sand','Grades',3,1,4,2
'boy',4,10,'White','Rural','Sand','Grades',1,3,2,4
'girl',4,9,'White','Rural','Sand','Grades',2,1,3,4
'girl',4,9,'White','Rural','Sand','Grades',1,3,2,4
'girl',4,9,'White','Rural','Sand','Grades',3,4,1,2
'girl',4,10,'White','Rural','Sand','Popular',2,1,3,4
'girl',4,9,'White','Rural','Sand','Grades',1,3,2,4
'girl',4,9,'White','Rural','Sand','Sports',3,2,1,4
'girl',4,9,'White','Rural','Sand','Sports',3,2,1,4
'girl',4,9,'White','Rural','Sand','Grades',2,1,3,4
'girl',6,12,'White','Rural','Brown Middle','Popular',4,2,1,3
'girl',6,11,'White','Rural','Brown Middle','Popular',3,4,1,2
'girl',6,11,'White','Rural','Brown Middle','Grades',4,2,1,3
'girl',6,11,'White','Rural','Brown Middle','Grades',4,2,1,3
'girl',6,11,'White','Rural','Brown Middle','Grades',1,3,2,4
'girl',6,12,'White','Rural','Brown Middle','Grades',4,3,1,2
'girl',6,12,'Other','Rural','Brown Middle','Grades',3,2,1,4
'girl',6,11,'White','Rural','Brown Middle','Popular',1,2,3,4
'girl',6,11,'White','Rural','Brown Middle','Sports',4,1,3,2
'girl',6,12,'White','Rural','Brown Middle','Grades',4,3,1,2
'girl',6,11,'White','Rural','Brown Middle','Popular',2,1,3,4
'girl',6,11,'White','Rural','Brown Middle','Popular',3,2,1,4
'girl',6,11,'Other','Rural','Brown Middle','Grades',1,3,4,2
'girl',6,11,'White','Rural','Brown Middle','Popular',3,1,2,4
'girl',6,11,'White','Rural','Brown Middle','Popular',1,2,3,4
'girl',6,11,'White','Rural','Brown Middle','Popular',4,2,1,3
'girl',6,12,'White','Rural','Brown Middle','Grades',4,2,1,3
'girl',6,11,'White','Rural','Brown Middle','Grades',2,3,1,4
'girl',6,11,'White','Rural','Brown Middle','Grades',2,3,1,4
'girl',6,11,'White','Rural','Brown Middle','Grades',1,4,2,3
'girl',6,11,'White','Rural','Brown Middle','Popular',4,2,1,3
'girl',6,12,'White','Rural','Brown Middle','Grades',3,1,2,4
'girl',6,11,'White','Rural','Brown Middle','Grades',4,2,1,3
'girl',6,12,'White','Rural','Brown Middle','Sports',2,1,3,4
'girl',6,11,'White','Rural','Brown Middle','Sports',2,4,1,3
'girl',6,11,'White','Rural','Brown Middle','Grades',4,2,1,3
'boy',6,12,'White','Rural','Brown Middle','Sports',4,3,1,2
'boy',6,13,'White','Rural','Brown Middle','Sports',4,1,2,3
'boy',6,11,'White','Rural','Brown Middle','Sports',3,1,2,4
'boy',6,11,'White','Rural','Brown Middle','Sports',4,2,1,3
'boy',6,12,'White','Rural','Brown Middle','Popular',4,2,3,1
'boy',6,11,'White','Rural','Brown Middle','Sports',2,1,3,4
'boy',6,12,'White','Rural','Brown Middle','Sports',3,1,2,4
'boy',6,11,'White','Rural','Brown Middle','Grades',4,1,2,3
'boy',6,12,'White','Rural','Brown Middle','Grades',4,2,1,3
'boy',6,11,'White','Rural','Brown Middle','Sports',4,1,2,3
'boy',6,12,'White','Rural','Brown Middle','Popular',2,3,4,1
'boy',6,11,'White','Rural','Brown Middle','Grades',3,2,1,4
'boy',6,11,'White','Rural','Brown Middle','Grades',2,1,3,4
'boy',6,12,'White','Rural','Brown Middle','Sports',3,1,2,4
'boy',6,11,'White','Rural','Brown Middle','Grades',3,1,4,2
'boy',6,11,'White','Rural','Brown Middle','Grades',4,1,2,3
'boy',6,12,'Other','Rural','Brown Middle','Popular',4,3,2,1
'boy',6,12,'White','Rural','Brown Middle','Sports',3,1,2,4
'boy',6,11,'White','Rural','Brown Middle','Grades',1,2,3,4
'boy',6,12,'White','Rural','Brown Middle','Sports',4,1,2,3
'boy',6,11,'White','Rural','Brown Middle','Popular',4,2,1,3
'boy',6,13,'White','Rural','Brown Middle','Sports',4,2,1,3
'boy',6,11,'White','Rural','Brown Middle','Grades',4,3,1,2
'boy',6,11,'White','Rural','Brown Middle','Sports',3,1,4,2
'boy',6,11,'White','Rural','Brown Middle','Popular',4,2,1,3
'boy',6,11,'White','Rural','Brown Middle','Sports',3,1,4,2
'girl',4,9,'Other','Urban','Main','Grades',1,2,3,4
'girl',4,9,'White','Urban','Main','Popular',4,3,1,2
'girl',4,9,'White','Urban','Main','Grades',1,3,2,4
'girl',4,9,'Other','Urban','Main','Sports',4,1,2,3
'girl',4,9,'White','Urban','Main','Grades',2,1,3,4
'girl',4,9,'Other','Urban','Main','Grades',2,4,1,3
'girl',4,10,'White','Urban','Main','Grades',3,2,1,4
'girl',4,10,'White','Urban','Main','Grades',3,2,1,4
'girl',4,9,'White','Urban','Main','Grades',1,2,3,4
'girl',4,9,'White','Urban','Main','Popular',2,1,3,4
'girl',4,9,'White','Urban','Main','Sports',1,3,2,4
'girl',4,9,'White','Urban','Main','Grades',1,2,3,4
'girl',4,9,'White','Urban','Main','Grades',1,2,3,4
'girl',4,9,'White','Urban','Main','Grades',4,3,1,2
'girl',4,9,'White','Urban','Main','Grades',1,2,4,3
'boy',4,9,'White','Urban','Main','Grades',3,1,2,4
'boy',4,9,'White','Urban','Main','Popular',1,3,2,4
'boy',4,9,'White','Urban','Main','Grades',3,1,4,2
'boy',4,9,'White','Urban','Main','Sports',1,2,4,3
'boy',4,9,'White','Urban','Main','Grades',3,1,2,4
'boy',4,9,'White','Urban','Main','Sports',2,1,4,3
'boy',4,9,'White','Urban','Main','Sports',2,3,1,4
'boy',4,9,'White','Urban','Main','Grades',2,1,4,3
'boy',4,9,'Other','Urban','Main','Grades',4,1,3,2
'boy',4,10,'White','Urban','Main','Grades',2,1,4,3
'boy',4,9,'White','Urban','Main','Grades',2,1,3,4
'girl',5,10,'White','Urban','Main','Grades',4,2,1,3
'girl',5,10,'White','Urban','Main','Grades',1,2,3,4
'girl',5,11,'White','Urban','Main','Grades',2,1,4,3
'girl',5,10,'White','Urban','Main','Grades',4,3,1,2
'girl',5,10,'White','Urban','Main','Popular',3,2,1,4
'girl',5,10,'Other','Urban','Main','Popular',2,4,1,3
'girl',5,11,'White','Urban','Main','Grades',1,2,3,4
'girl',5,10,'White','Urban','Main','Grades',1,2,3,4
'girl',5,10,'White','Urban','Main','Popular',4,1,2,3
'girl',5,11,'White','Urban','Main','Sports',2,1,4,3
'girl',5,10,'White','Urban','Main','Grades',1,2,4,3
'girl',5,10,'White','Urban','Main','Grades',4,3,2,1
'girl',5,10,'White','Urban','Main','Popular',1,4,2,3
'girl',5,10,'White','Urban','Main','Grades',4,1,2,3
'girl',5,10,'White','Urban','Main','Popular',2,3,1,4
'girl',5,10,'White','Urban','Main','Popular',4,3,2,1
'girl',5,10,'White','Urban','Main','Popular',2,1,3,4
'girl',5,10,'White','Urban','Main','Grades',1,2,4,3
'girl',5,10,'White','Urban','Main','Grades',1,3,2,4
'girl',5,10,'White','Urban','Main','Grades',2,4,3,1
'girl',5,10,'White','Urban','Main','Grades',1,2,3,4
'boy',5,10,'White','Urban','Main','Grades',1,2,3,4
'boy',5,11,'White','Urban','Main','Sports',3,1,2,4
'boy',5,10,'Other','Urban','Main','Grades',2,1,4,3
'boy',5,11,'Other','Urban','Main','Grades',1,4,2,3
'boy',5,10,'White','Urban','Main','Grades',2,1,4,3
'boy',5,10,'White','Urban','Main','Grades',1,2,4,3
'boy',5,10,'White','Urban','Main','Grades',2,1,3,4
'boy',5,10,'White','Urban','Main','Sports',2,1,3,4
'boy',5,11,'White','Urban','Main','Grades',2,1,4,3
'boy',5,9,'Other','Urban','Main','Grades',2,1,3,4
'boy',5,10,'White','Urban','Main','Grades',3,4,2,1
'boy',5,10,'Other','Urban','Main','Grades',1,2,3,4
'boy',5,10,'White','Urban','Main','Grades',2,1,3,4
'boy',5,10,'White','Urban','Main','Sports',2,1,4,3
'boy',5,11,'White','Urban','Main','Popular',3,1,2,4
'boy',5,11,'White','Urban','Main','Grades',1,2,3,4
'boy',5,11,'White','Urban','Main','Popular',3,1,2,4
'boy',5,9,'Other','Urban','Main','Grades',3,1,4,2
'boy',5,11,'White','Urban','Main','Sports',2,1,3,4
'boy',5,10,'White','Urban','Main','Sports',2,1,3,4
'girl',5,10,'White','Urban','Main','Grades',3,2,1,4
'girl',4,9,'White','Urban','Portage','Sports',4,3,1,2
'boy',4,9,'White','Urban','Portage','Sports',3,2,1,4
'boy',4,9,'Other','Urban','Portage','Grades',4,3,1,2
'boy',4,9,'White','Urban','Portage','Grades',1,2,3,4
'girl',4,9,'White','Urban','Portage','Grades',1,2,3,4
'girl',4,10,'White','Urban','Portage','Grades',3,1,2,4
'girl',4,9,'White','Urban','Portage','Grades',1,3,2,4
'girl',4,9,'Other','Urban','Portage','Popular',2,3,1,4
'boy',4,9,'White','Urban','Portage','Popular',4,1,2,3
'boy',4,9,'White','Urban','Portage','Popular',3,1,2,4
'boy',4,9,'White','Urban','Portage','Grades',1,3,2,4
'boy',5,10,'White','Urban','Portage','Grades',1,2,4,3
'boy',5,11,'White','Urban','Portage','Grades',1,3,2,4
'boy',5,10,'Other','Urban','Portage','Grades',2,1,3,4
'boy',5,11,'White','Urban','Portage','Popular',3,2,1,4
'boy',5,10,'White','Urban','Portage','Grades',2,4,1,3
'boy',5,10,'White','Urban','Portage','Grades',3,1,4,2
'boy',5,11,'White','Urban','Portage','Grades',1,2,3,4
'girl',5,10,'White','Urban','Portage','Grades',1,3,2,4
'girl',5,10,'White','Urban','Portage','Popular',3,2,1,4
'girl',5,10,'White','Urban','Portage','Grades',1,2,3,4
'girl',5,10,'White','Urban','Portage','Popular',2,4,1,3
'girl',5,10,'White','Urban','Portage','Popular',3,1,2,4
'girl',5,10,'White','Urban','Portage','Grades',1,2,3,4
'girl',5,11,'White','Urban','Portage','Popular',3,1,2,4
'girl',5,10,'White','Urban','Portage','Popular',2,3,1,4
'girl',5,10,'White','Urban','Portage','Grades',3,1,2,4
'girl',5,10,'White','Urban','Portage','Grades',1,3,2,4
'girl',5,10,'White','Urban','Portage','Grades',2,1,3,4
'boy',5,10,'White','Urban','Portage','Sports',3,1,4,2
'boy',5,11,'White','Urban','Portage','Sports',3,1,2,4
'boy',5,10,'White','Urban','Portage','Grades',3,2,1,4
'boy',5,10,'White','Urban','Portage','Sports',3,1,2,4
'boy',5,11,'White','Urban','Portage','Grades',4,1,3,2
'boy',5,10,'White','Urban','Portage','Popular',4,3,1,2
'girl',5,10,'Other','Urban','Portage','Grades',2,1,3,4
'girl',5,11,'White','Urban','Portage','Popular',2,4,1,3
'girl',5,10,'White','Urban','Portage','Popular',3,2,1,4
'girl',5,11,'White','Urban','Portage','Sports',3,2,1,4
'girl',5,11,'White','Urban','Portage','Popular',2,4,1,3
'girl',5,11,'Other','Urban','Portage','Grades',2,4,1,3
'girl',5,10,'White','Urban','Portage','Popular',3,2,1,4
'girl',5,10,'Other','Urban','Portage','Sports',3,2,1,4
'girl',5,11,'White','Urban','Portage','Popular',4,3,1,2
'girl',5,10,'White','Urban','Portage','Popular',3,2,1,4
'boy',4,9,'White','Urban','Portage','Sports',3,2,4,1
'boy',4,9,'White','Urban','Portage','Sports',3,2,4,1
'boy',4,9,'White','Urban','Portage','Grades',4,3,2,1
'boy',4,9,'White','Urban','Portage','Grades',1,4,3,2
'girl',4,9,'White','Urban','Portage','Sports',2,4,1,3
'girl',4,9,'White','Urban','Portage','Grades',2,4,1,3
'girl',4,9,'White','Urban','Portage','Sports',1,3,4,2
'girl',4,9,'White','Urban','Portage','Popular',4,3,1,2
'girl',4,9,'White','Urban','Portage','Grades',3,2,1,4
'boy',4,9,'White','Urban','Portage','Grades',2,1,4,3
'boy',4,9,'White','Urban','Portage','Grades',1,2,3,4
'boy',4,9,'White','Urban','Portage','Popular',3,1,2,4
'girl',4,9,'White','Urban','Portage','Grades',4,3,2,1
'girl',4,9,'White','Urban','Portage','Popular',4,2,3,1
'girl',4,9,'White','Urban','Portage','Grades',3,2,1,4
'girl',4,9,'White','Urban','Portage','Popular',3,2,1,4
'girl',6,11,'White','Urban','Westdale Middle','Popular',3,2,1,4
'girl',6,11,'White','Urban','Westdale Middle','Popular',4,3,2,1
'girl',6,11,'White','Urban','Westdale Middle','Popular',3,1,2,4
'girl',6,11,'White','Urban','Westdale Middle','Popular',4,2,1,3
'girl',6,11,'Other','Urban','Westdale Middle','Grades',4,2,1,3
'girl',6,11,'White','Urban','Westdale Middle','Popular',4,2,1,3
'girl',6,11,'White','Urban','Westdale Middle','Popular',4,1,2,3
'girl',6,11,'White','Urban','Westdale Middle','Grades',3,2,1,4
'girl',6,11,'White','Urban','Westdale Middle','Grades',2,3,1,4
'girl',6,11,'White','Urban','Westdale Middle','Grades',4,3,1,2
'girl',6,11,'White','Urban','Westdale Middle','Grades',3,2,1,4
'girl',6,11,'White','Urban','Westdale Middle','Popular',3,2,1,4
'girl',6,11,'White','Urban','Westdale Middle','Grades',4,2,1,3
'girl',6,11,'White','Urban','Westdale Middle','Popular',3,1,2,4
'girl',6,12,'Other','Urban','Westdale Middle','Popular',2,4,3,1
'girl',6,11,'White','Urban','Westdale Middle','Grades',4,3,1,2
'girl',6,11,'White','Urban','Westdale Middle','Grades',2,3,1,4
'girl',6,11,'White','Urban','Westdale Middle','Popular',3,2,1,4
'girl',6,11,'Other','Urban','Westdale Middle','Popular',2,3,4,1
'girl',6,12,'White','Urban','Westdale Middle','Grades',2,1,3,4
'girl',6,11,'White','Urban','Westdale Middle','Grades',4,2,1,3
'girl',5,11,'White','Urban','Westdale Middle','Grades',3,2,1,4
'girl',6,11,'White','Urban','Westdale Middle','Grades',2,3,1,4
'girl',6,11,'Other','Urban','Westdale Middle','Sports',4,1,2,3
'girl',6,11,'White','Urban','Westdale Middle','Grades',4,3,1,2
'girl',6,11,'White','Urban','Westdale Middle','Grades',3,4,1,2
'girl',6,11,'White','Urban','Westdale Middle','Popular',4,2,1,3
'girl',6,11,'White','Urban','Westdale Middle','Popular',3,4,1,2
'girl',6,11,'White','Urban','Westdale Middle','Grades',3,4,1,2
'girl',6,11,'White','Urban','Westdale Middle','Grades',3,2,1,4
'girl',6,11,'Other','Urban','Westdale Middle','Grades',3,2,1,4
'girl',6,11,'White','Urban','Westdale Middle','Popular',4,3,1,2
'girl',6,11,'White','Urban','Westdale Middle','Sports',3,2,1,4
'girl',6,11,'White','Urban','Westdale Middle','Grades',4,2,1,3
'boy',6,12,'White','Urban','Westdale Middle','Grades',3,1,2,4
'boy',6,11,'Other','Urban','Westdale Middle','Sports',3,2,1,4
'boy',6,11,'White','Urban','Westdale Middle','Grades',3,1,2,4
'boy',6,11,'White','Urban','Westdale Middle','Grades',1,2,3,4
'boy',6,12,'White','Urban','Westdale Middle','Grades',3,1,2,4
'boy',6,11,'White','Urban','Westdale Middle','Grades',2,1,3,4
'boy',6,11,'White','Urban','Westdale Middle','Popular',3,1,2,4
'boy',6,12,'White','Urban','Westdale Middle','Grades',3,1,2,4
'boy',6,11,'White','Urban','Westdale Middle','Grades',4,2,1,3
'boy',6,11,'White','Urban','Westdale Middle','Grades',3,2,1,4
'boy',6,11,'White','Urban','Westdale Middle','Grades',4,1,2,3
'boy',6,11,'White','Urban','Westdale Middle','Sports',4,1,2,3
'boy',6,11,'White','Urban','Westdale Middle','Grades',4,2,1,3
'boy',6,11,'White','Urban','Westdale Middle','Popular',4,1,3,2
'boy',6,11,'White','Urban','Westdale Middle','Popular',4,1,2,3
